# Source File Name = manual_corpus.txt
#
# Memory Chunck Size = 4096
#
# Length in byte,Number of length,Total % of Length
#
1453,0,99.9973
1454,0,99.9973
1455,0,99.9973
1456,0,99.9973
1457,0,99.9973
1458,0,99.9973
1459,0,99.9973
1460,0,99.9973
1461,0,99.9973
1462,0,99.9973
1463,0,99.9973
1464,0,99.9973
1465,0,99.9973
1466,0,99.9973
1467,0,99.9973
1468,0,99.9973
1469,0,99.9973
1470,0,99.9973
1471,0,99.9973
1472,0,99.9973
1473,0,99.9973
1474,0,99.9973
1475,0,99.9973
1476,0,99.9973
1477,0,99.9973
1478,0,99.9973
1479,0,99.9973
1480,0,99.9973
1481,0,99.9973
1482,0,99.9973
1483,0,99.9973
1484,0,99.9973
1485,0,99.9973
1486,1,99.9977
1487,0,99.9977
1488,0,99.9977
1489,0,99.9977
1490,0,99.9977
1491,0,99.9977
1492,0,99.9977
1493,0,99.9977
1494,0,99.9977
1495,0,99.9977
1496,0,99.9977
1497,0,99.9977
1498,0,99.9977
1499,0,99.9977
1500,0,99.9977
1501,1,99.998
1502,0,99.998
1503,0,99.998
1504,0,99.998
1505,0,99.998
1506,0,99.998
1507,0,99.998
1508,0,99.998
1509,0,99.998
1510,0,99.998
1511,0,99.998
1512,0,99.998
1513,0,99.998
1514,1,99.9984
1515,0,99.9984
1516,0,99.9984
1517,0,99.9984
1518,0,99.9984
1519,0,99.9984
1520,0,99.9984
1521,0,99.9984
1522,0,99.9984
1523,0,99.9984
1524,0,99.9984
1525,0,99.9984
1526,0,99.9984
1527,0,99.9984
1528,0,99.9984
1529,0,99.9984
1530,0,99.9984
1531,0,99.9984
1532,0,99.9984
1533,0,99.9984
1534,0,99.9984
1535,0,99.9984
1536,0,99.9984
1537,0,99.9984
1538,0,99.9984
1539,0,99.9984
1540,0,99.9984
1541,0,99.9984
1542,0,99.9984
1543,0,99.9984
1544,0,99.9984
1545,0,99.9984
1546,0,99.9984
1547,0,99.9984
1548,0,99.9984
1549,0,99.9984
1550,0,99.9984
1551,0,99.9984
1552,0,99.9984
1553,0,99.9984
1554,0,99.9984
1555,1,99.9988
1556,0,99.9988
1557,0,99.9988
1558,1,99.9992
1559,0,99.9992
1560,0,99.9992
1561,0,99.9992
1562,0,99.9992
1563,0,99.9992
1564,0,99.9992
1565,0,99.9992
1566,0,99.9992
1567,0,99.9992
1568,0,99.9992
1569,0,99.9992
1570,0,99.9992
1571,0,99.9992
1572,0,99.9992
1573,0,99.9992
1574,0,99.9992
1575,0,99.9992
1576,0,99.9992
1577,0,99.9992
1578,0,99.9992
1579,0,99.9992
1580,0,99.9992
1581,0,99.9992
1582,0,99.9992
1583,0,99.9992
1584,0,99.9992
1585,0,99.9992
1586,0,99.9992
1587,0,99.9992
1588,0,99.9992
1589,0,99.9992
1590,0,99.9992
1591,0,99.9992
1592,0,99.9992
1593,0,99.9992
1594,0,99.9992
1595,0,99.9992
1596,0,99.9992
1597,0,99.9992
1598,0,99.9992
1599,0,99.9992
1600,0,99.9992
1601,0,99.9992
1602,0,99.9992
1603,0,99.9992
1604,0,99.9992
1605,0,99.9992
1606,0,99.9992
1607,0,99.9992
1608,0,99.9992
1609,0,99.9992
1610,0,99.9992
1611,0,99.9992
1612,0,99.9992
1613,0,99.9992
1614,0,99.9992
1615,0,99.9992
1616,0,99.9992
1617,0,99.9992
1618,0,99.9992
1619,0,99.9992
1620,0,99.9992
1621,0,99.9992
1622,0,99.9992
1623,0,99.9992
1624,0,99.9992
1625,0,99.9992
1626,0,99.9992
1627,0,99.9992
1628,0,99.9992
1629,0,99.9992
1630,0,99.9992
1631,0,99.9992
1632,0,99.9992
1633,0,99.9992
1634,0,99.9992
1635,0,99.9992
1636,0,99.9992
1637,0,99.9992
1638,0,99.9992
1639,0,99.9992
1640,0,99.9992
1641,0,99.9992
1642,0,99.9992
1643,0,99.9992
1644,0,99.9992
1645,0,99.9992
1646,0,99.9992
1647,0,99.9992
1648,0,99.9992
1649,0,99.9992
1650,0,99.9992
1651,0,99.9992
1652,0,99.9992
1653,0,99.9992
1654,0,99.9992
1655,0,99.9992
1656,0,99.9992
1657,0,99.9992
1658,0,99.9992
1659,0,99.9992
1660,0,99.9992
1661,0,99.9992
1662,0,99.9992
1663,0,99.9992
1664,0,99.9992
1665,0,99.9992
1666,0,99.9992
1667,0,99.9992
1668,0,99.9992
1669,0,99.9992
1670,0,99.9992
1671,0,99.9992
1672,0,99.9992
1673,0,99.9992
1674,0,99.9992
1675,0,99.9992
1676,0,99.9992
1677,0,99.9992
1678,0,99.9992
1679,0,99.9992
1680,0,99.9992
1681,0,99.9992
1682,0,99.9992
1683,0,99.9992
1684,0,99.9992
1685,0,99.9992
1686,0,99.9992
1687,0,99.9992
1688,0,99.9992
1689,0,99.9992
1690,0,99.9992
1691,0,99.9992
1692,0,99.9992
1693,0,99.9992
1694,0,99.9992
1695,0,99.9992
1696,0,99.9992
1697,0,99.9992
1698,0,99.9992
1699,0,99.9992
1700,0,99.9992
1701,0,99.9992
1702,0,99.9992
1703,0,99.9992
1704,0,99.9992
1705,0,99.9992
1706,0,99.9992
1707,0,99.9992
1708,0,99.9992
1709,0,99.9992
1710,0,99.9992
1711,0,99.9992
1712,0,99.9992
1713,0,99.9992
1714,0,99.9992
1715,0,99.9992
1716,0,99.9992
1717,0,99.9992
1718,0,99.9992
1719,0,99.9992
1720,0,99.9992
1721,0,99.9992
1722,0,99.9992
1723,0,99.9992
1724,0,99.9992
1725,0,99.9992
1726,0,99.9992
1727,0,99.9992
1728,0,99.9992
1729,0,99.9992
1730,0,99.9992
1731,0,99.9992
1732,0,99.9992
1733,0,99.9992
1734,0,99.9992
1735,0,99.9992
1736,0,99.9992
1737,0,99.9992
1738,0,99.9992
1739,0,99.9992
1740,0,99.9992
1741,0,99.9992
1742,0,99.9992
1743,0,99.9992
1744,0,99.9992
1745,0,99.9992
1746,0,99.9992
1747,0,99.9992
1748,0,99.9992
1749,0,99.9992
1750,0,99.9992
1751,0,99.9992
1752,0,99.9992
1753,0,99.9992
1754,0,99.9992
1755,0,99.9992
1756,0,99.9992
1757,0,99.9992
1758,0,99.9992
1759,0,99.9992
1760,0,99.9992
1761,0,99.9992
1762,0,99.9992
1763,0,99.9992
1764,0,99.9992
1765,0,99.9992
1766,0,99.9992
1767,0,99.9992
1768,0,99.9992
1769,0,99.9992
1770,0,99.9992
1771,0,99.9992
1772,0,99.9992
1773,0,99.9992
1774,0,99.9992
1775,0,99.9992
1776,0,99.9992
1777,0,99.9992
1778,0,99.9992
1779,0,99.9992
1780,0,99.9992
1781,0,99.9992
1782,0,99.9992
1783,0,99.9992
1784,0,99.9992
1785,0,99.9992
1786,0,99.9992
1787,0,99.9992
1788,0,99.9992
1789,0,99.9992
1790,0,99.9992
1791,0,99.9992
1792,0,99.9992
1793,0,99.9992
1794,0,99.9992
1795,0,99.9992
1796,0,99.9992
1797,0,99.9992
1798,0,99.9992
1799,0,99.9992
1800,0,99.9992
1801,0,99.9992
1802,0,99.9992
1803,0,99.9992
1804,0,99.9992
1805,0,99.9992
1806,0,99.9992
1807,0,99.9992
1808,0,99.9992
1809,0,99.9992
1810,0,99.9992
1811,0,99.9992
1812,0,99.9992
1813,0,99.9992
1814,0,99.9992
1815,0,99.9992
1816,0,99.9992
1817,0,99.9992
1818,0,99.9992
1819,0,99.9992
1820,0,99.9992
1821,0,99.9992
1822,0,99.9992
1823,0,99.9992
1824,0,99.9992
1825,0,99.9992
1826,0,99.9992
1827,0,99.9992
1828,0,99.9992
1829,0,99.9992
1830,0,99.9992
1831,0,99.9992
1832,0,99.9992
1833,0,99.9992
1834,0,99.9992
1835,0,99.9992
1836,0,99.9992
1837,0,99.9992
1838,0,99.9992
1839,0,99.9992
1840,0,99.9992
1841,0,99.9992
1842,0,99.9992
1843,0,99.9992
1844,0,99.9992
1845,0,99.9992
1846,1,99.9996
1847,0,99.9996
1848,0,99.9996
1849,0,99.9996
1850,0,99.9996
1851,0,99.9996
1852,0,99.9996
1853,0,99.9996
1854,0,99.9996
1855,0,99.9996
1856,0,99.9996
1857,0,99.9996
1858,0,99.9996
1859,0,99.9996
1860,0,99.9996
1861,0,99.9996
1862,0,99.9996
1863,0,99.9996
1864,0,99.9996
1865,0,99.9996
1866,0,99.9996
1867,0,99.9996
1868,0,99.9996
1869,0,99.9996
1870,0,99.9996
1871,0,99.9996
1872,0,99.9996
1873,0,99.9996
1874,0,99.9996
1875,0,99.9996
1876,0,99.9996
1877,0,99.9996
1878,0,99.9996
1879,0,99.9996
1880,0,99.9996
1881,0,99.9996
1882,0,99.9996
1883,0,99.9996
1884,0,99.9996
1885,0,99.9996
1886,0,99.9996
1887,0,99.9996
1888,0,99.9996
1889,0,99.9996
1890,0,99.9996
1891,0,99.9996
1892,0,99.9996
1893,0,99.9996
1894,0,99.9996
1895,0,99.9996
1896,0,99.9996
1897,0,99.9996
1898,0,99.9996
1899,0,99.9996
1900,0,99.9996
1901,0,99.9996
1902,0,99.9996
1903,0,99.9996
1904,0,99.9996
1905,0,99.9996
1906,0,99.9996
1907,0,99.9996
1908,0,99.9996
1909,0,99.9996
1910,0,99.9996
1911,0,99.9996
1912,0,99.9996
1913,0,99.9996
1914,0,99.9996
1915,0,99.9996
1916,0,99.9996
1917,0,99.9996
1918,0,99.9996
1919,0,99.9996
1920,0,99.9996
1921,0,99.9996
1922,0,99.9996
1923,0,99.9996
1924,0,99.9996
1925,0,99.9996
1926,0,99.9996
1927,0,99.9996
1928,0,99.9996
1929,0,99.9996
1930,0,99.9996
1931,0,99.9996
1932,0,99.9996
1933,0,99.9996
1934,0,99.9996
1935,0,99.9996
1936,0,99.9996
1937,0,99.9996
1938,0,99.9996
1939,0,99.9996
1940,0,99.9996
1941,0,99.9996
1942,0,99.9996
1943,0,99.9996
1944,0,99.9996
1945,0,99.9996
1946,0,99.9996
1947,0,99.9996
1948,0,99.9996
1949,0,99.9996
1950,0,99.9996
1951,0,99.9996
1952,0,99.9996
1953,0,99.9996
1954,0,99.9996
1955,0,99.9996
1956,0,99.9996
1957,0,99.9996
1958,0,99.9996
1959,0,99.9996
1960,0,99.9996
1961,0,99.9996
1962,0,99.9996
1963,0,99.9996
1964,0,99.9996
1965,0,99.9996
1966,0,99.9996
1967,0,99.9996
1968,0,99.9996
1969,0,99.9996
1970,0,99.9996
1971,0,99.9996
1972,0,99.9996
1973,0,99.9996
1974,0,99.9996
1975,0,99.9996
1976,0,99.9996
1977,0,99.9996
1978,0,99.9996
1979,0,99.9996
1980,0,99.9996
1981,0,99.9996
1982,0,99.9996
1983,0,99.9996
1984,0,99.9996
1985,0,99.9996
1986,0,99.9996
1987,0,99.9996
1988,0,99.9996
1989,0,99.9996
1990,0,99.9996
1991,0,99.9996
1992,0,99.9996
1993,0,99.9996
1994,0,99.9996
1995,0,99.9996
1996,0,99.9996
1997,0,99.9996
1998,0,99.9996
1999,0,99.9996
2000,0,99.9996
2001,0,99.9996
2002,0,99.9996
2003,0,99.9996
2004,0,99.9996
2005,0,99.9996
2006,0,99.9996
2007,0,99.9996
2008,0,99.9996
2009,0,99.9996
2010,0,99.9996
2011,0,99.9996
2012,0,99.9996
2013,0,99.9996
2014,0,99.9996
2015,0,99.9996
2016,0,99.9996
2017,0,99.9996
2018,0,99.9996
2019,0,99.9996
2020,0,99.9996
2021,0,99.9996
2022,0,99.9996
2023,0,99.9996
2024,0,99.9996
2025,0,99.9996
2026,0,99.9996
2027,0,99.9996
2028,0,99.9996
2029,0,99.9996
2030,0,99.9996
2031,0,99.9996
2032,0,99.9996
2033,0,99.9996
2034,0,99.9996
2035,0,99.9996
2036,0,99.9996
2037,0,99.9996
2038,0,99.9996
2039,0,99.9996
2040,0,99.9996
2041,0,99.9996
2042,0,99.9996
2043,0,99.9996
2044,0,99.9996
2045,0,99.9996
2046,0,99.9996
2047,0,99.9996
2048,0,99.9996
2049,0,99.9996
2050,0,99.9996
2051,0,99.9996
2052,0,99.9996
2053,0,99.9996
2054,0,99.9996
2055,0,99.9996
2056,0,99.9996
2057,0,99.9996
2058,0,99.9996
2059,0,99.9996
2060,0,99.9996
2061,0,99.9996
2062,0,99.9996
2063,0,99.9996
2064,0,99.9996
2065,0,99.9996
2066,0,99.9996
2067,0,99.9996
2068,0,99.9996
2069,0,99.9996
2070,0,99.9996
2071,0,99.9996
2072,0,99.9996
2073,0,99.9996
2074,0,99.9996
2075,0,99.9996
2076,0,99.9996
2077,0,99.9996
2078,0,99.9996
2079,0,99.9996
2080,0,99.9996
2081,0,99.9996
2082,0,99.9996
2083,0,99.9996
2084,0,99.9996
2085,0,99.9996
2086,0,99.9996
2087,0,99.9996
2088,0,99.9996
2089,0,99.9996
2090,0,99.9996
2091,0,99.9996
2092,0,99.9996
2093,0,99.9996
2094,0,99.9996
2095,0,99.9996
2096,0,99.9996
2097,0,99.9996
2098,0,99.9996
2099,0,99.9996
2100,0,99.9996
2101,0,99.9996
2102,0,99.9996
2103,0,99.9996
2104,0,99.9996
2105,0,99.9996
2106,0,99.9996
2107,0,99.9996
2108,0,99.9996
2109,0,99.9996
2110,0,99.9996
2111,0,99.9996
2112,0,99.9996
2113,0,99.9996
2114,0,99.9996
2115,0,99.9996
2116,0,99.9996
2117,0,99.9996
2118,0,99.9996
2119,0,99.9996
2120,0,99.9996
2121,0,99.9996
2122,0,99.9996
2123,0,99.9996
2124,0,99.9996
2125,0,99.9996
2126,0,99.9996
2127,0,99.9996
2128,0,99.9996
2129,0,99.9996
2130,0,99.9996
2131,0,99.9996
2132,0,99.9996
2133,0,99.9996
2134,0,99.9996
2135,0,99.9996
2136,0,99.9996
2137,0,99.9996
2138,0,99.9996
2139,0,99.9996
2140,0,99.9996
2141,0,99.9996
2142,0,99.9996
2143,0,99.9996
2144,0,99.9996
2145,0,99.9996
2146,0,99.9996
2147,0,99.9996
2148,0,99.9996
2149,0,99.9996
2150,0,99.9996
2151,0,99.9996
2152,0,99.9996
2153,0,99.9996
2154,0,99.9996
2155,0,99.9996
2156,0,99.9996
2157,0,99.9996
2158,0,99.9996
2159,0,99.9996
2160,0,99.9996
2161,0,99.9996
2162,0,99.9996
2163,0,99.9996
2164,0,99.9996
2165,0,99.9996
2166,0,99.9996
2167,0,99.9996
2168,0,99.9996
2169,0,99.9996
2170,0,99.9996
2171,0,99.9996
2172,0,99.9996
2173,0,99.9996
2174,0,99.9996
2175,0,99.9996
2176,0,99.9996
2177,0,99.9996
2178,0,99.9996
2179,0,99.9996
2180,0,99.9996
2181,0,99.9996
2182,0,99.9996
2183,0,99.9996
2184,0,99.9996
2185,0,99.9996
2186,0,99.9996
2187,0,99.9996
2188,0,99.9996
2189,0,99.9996
2190,0,99.9996
2191,0,99.9996
2192,0,99.9996
2193,0,99.9996
2194,0,99.9996
2195,0,99.9996
2196,0,99.9996
2197,0,99.9996
2198,0,99.9996
2199,0,99.9996
2200,0,99.9996
2201,0,99.9996
2202,0,99.9996
2203,0,99.9996
2204,0,99.9996
2205,0,99.9996
2206,0,99.9996
2207,0,99.9996
2208,0,99.9996
2209,0,99.9996
2210,0,99.9996
2211,0,99.9996
2212,0,99.9996
2213,0,99.9996
2214,0,99.9996
2215,0,99.9996
2216,0,99.9996
2217,0,99.9996
2218,0,99.9996
2219,0,99.9996
2220,0,99.9996
2221,0,99.9996
2222,0,99.9996
2223,0,99.9996
2224,0,99.9996
2225,0,99.9996
2226,0,99.9996
2227,0,99.9996
2228,0,99.9996
2229,0,99.9996
2230,0,99.9996
2231,0,99.9996
2232,0,99.9996
2233,0,99.9996
2234,0,99.9996
2235,0,99.9996
2236,0,99.9996
2237,0,99.9996
2238,0,99.9996
2239,0,99.9996
2240,0,99.9996
2241,0,99.9996
2242,0,99.9996
2243,0,99.9996
2244,0,99.9996
2245,0,99.9996
2246,0,99.9996
2247,0,99.9996
2248,0,99.9996
2249,0,99.9996
2250,0,99.9996
2251,0,99.9996
2252,0,99.9996
2253,0,99.9996
2254,0,99.9996
2255,0,99.9996
2256,0,99.9996
2257,0,99.9996
2258,0,99.9996
2259,0,99.9996
2260,0,99.9996
2261,0,99.9996
2262,0,99.9996
2263,0,99.9996
2264,0,99.9996
2265,0,99.9996
2266,0,99.9996
2267,0,99.9996
2268,0,99.9996
2269,0,99.9996
2270,0,99.9996
2271,0,99.9996
2272,0,99.9996
2273,0,99.9996
2274,0,99.9996
2275,0,99.9996
2276,0,99.9996
2277,0,99.9996
2278,0,99.9996
2279,0,99.9996
2280,0,99.9996
2281,0,99.9996
2282,0,99.9996
2283,0,99.9996
2284,0,99.9996
2285,0,99.9996
2286,0,99.9996
2287,0,99.9996
2288,0,99.9996
2289,0,99.9996
2290,0,99.9996
2291,0,99.9996
2292,0,99.9996
2293,0,99.9996
2294,0,99.9996
2295,0,99.9996
2296,0,99.9996
2297,0,99.9996
2298,0,99.9996
2299,0,99.9996
2300,0,99.9996
2301,0,99.9996
2302,0,99.9996
2303,0,99.9996
2304,0,99.9996
2305,0,99.9996
2306,0,99.9996
2307,0,99.9996
2308,0,99.9996
2309,0,99.9996
2310,0,99.9996
2311,0,99.9996
2312,0,99.9996
2313,0,99.9996
2314,0,99.9996
2315,0,99.9996
2316,0,99.9996
2317,0,99.9996
2318,0,99.9996
2319,0,99.9996
2320,0,99.9996
2321,0,99.9996
2322,0,99.9996
2323,0,99.9996
2324,0,99.9996
2325,0,99.9996
2326,0,99.9996
2327,0,99.9996
2328,0,99.9996
2329,0,99.9996
2330,0,99.9996
2331,0,99.9996
2332,0,99.9996
2333,0,99.9996
2334,0,99.9996
2335,0,99.9996
2336,0,99.9996
2337,0,99.9996
2338,0,99.9996
2339,0,99.9996
2340,0,99.9996
2341,0,99.9996
2342,0,99.9996
2343,0,99.9996
2344,0,99.9996
2345,0,99.9996
2346,0,99.9996
2347,0,99.9996
2348,0,99.9996
2349,0,99.9996
2350,0,99.9996
2351,0,99.9996
2352,0,99.9996
2353,0,99.9996
2354,0,99.9996
2355,0,99.9996
2356,0,99.9996
2357,0,99.9996
2358,0,99.9996
2359,0,99.9996
2360,0,99.9996
2361,0,99.9996
2362,0,99.9996
2363,0,99.9996
2364,0,99.9996
2365,0,99.9996
2366,0,99.9996
2367,0,99.9996
2368,0,99.9996
2369,0,99.9996
2370,0,99.9996
2371,0,99.9996
2372,0,99.9996
2373,0,99.9996
2374,0,99.9996
2375,0,99.9996
2376,0,99.9996
2377,0,99.9996
2378,0,99.9996
2379,0,99.9996
2380,0,99.9996
2381,0,99.9996
2382,0,99.9996
2383,0,99.9996
2384,0,99.9996
2385,0,99.9996
2386,0,99.9996
2387,0,99.9996
2388,0,99.9996
2389,0,99.9996
2390,0,99.9996
2391,0,99.9996
2392,0,99.9996
2393,0,99.9996
2394,0,99.9996
2395,0,99.9996
2396,0,99.9996
2397,0,99.9996
2398,0,99.9996
2399,0,99.9996
2400,0,99.9996
2401,0,99.9996
2402,0,99.9996
2403,0,99.9996
2404,0,99.9996
2405,0,99.9996
2406,0,99.9996
2407,0,99.9996
2408,0,99.9996
2409,0,99.9996
2410,0,99.9996
2411,0,99.9996
2412,0,99.9996
2413,0,99.9996
2414,0,99.9996
2415,0,99.9996
2416,0,99.9996
2417,0,99.9996
2418,0,99.9996
2419,0,99.9996
2420,0,99.9996
2421,0,99.9996
2422,0,99.9996
2423,0,99.9996
2424,0,99.9996
2425,0,99.9996
2426,0,99.9996
2427,0,99.9996
2428,0,99.9996
2429,0,99.9996
2430,0,99.9996
2431,0,99.9996
2432,0,99.9996
2433,0,99.9996
2434,0,99.9996
2435,0,99.9996
2436,0,99.9996
2437,0,99.9996
2438,0,99.9996
2439,0,99.9996
2440,0,99.9996
2441,0,99.9996
2442,0,99.9996
2443,0,99.9996
2444,0,99.9996
2445,0,99.9996
2446,0,99.9996
2447,0,99.9996
2448,0,99.9996
2449,0,99.9996
2450,0,99.9996
2451,0,99.9996
2452,0,99.9996
2453,0,99.9996
2454,0,99.9996
2455,0,99.9996
2456,0,99.9996
2457,0,99.9996
2458,0,99.9996
2459,0,99.9996
2460,0,99.9996
2461,0,99.9996
2462,0,99.9996
2463,0,99.9996
2464,0,99.9996
2465,0,99.9996
2466,0,99.9996
2467,0,99.9996
2468,0,99.9996
2469,0,99.9996
2470,0,99.9996
2471,0,99.9996
2472,0,99.9996
2473,0,99.9996
2474,0,99.9996
2475,0,99.9996
2476,0,99.9996
2477,0,99.9996
2478,0,99.9996
2479,0,99.9996
2480,0,99.9996
2481,0,99.9996
2482,0,99.9996
2483,0,99.9996
2484,0,99.9996
2485,0,99.9996
2486,0,99.9996
2487,0,99.9996
2488,0,99.9996
2489,0,99.9996
2490,0,99.9996
2491,0,99.9996
2492,0,99.9996
2493,0,99.9996
2494,0,99.9996
2495,0,99.9996
2496,0,99.9996
2497,0,99.9996
2498,0,99.9996
2499,0,99.9996
2500,0,99.9996
2501,0,99.9996
2502,0,99.9996
2503,0,99.9996
2504,0,99.9996
2505,0,99.9996
2506,0,99.9996
2507,0,99.9996
2508,0,99.9996
2509,0,99.9996
2510,0,99.9996
2511,0,99.9996
2512,0,99.9996
2513,0,99.9996
2514,0,99.9996
2515,0,99.9996
2516,0,99.9996
2517,0,99.9996
2518,0,99.9996
2519,0,99.9996
2520,0,99.9996
2521,0,99.9996
2522,0,99.9996
2523,0,99.9996
2524,0,99.9996
2525,0,99.9996
2526,0,99.9996
2527,0,99.9996
2528,0,99.9996
2529,0,99.9996
2530,0,99.9996
2531,0,99.9996
2532,0,99.9996
2533,0,99.9996
2534,0,99.9996
2535,0,99.9996
2536,0,99.9996
2537,0,99.9996
2538,0,99.9996
2539,0,99.9996
2540,0,99.9996
2541,0,99.9996
2542,0,99.9996
2543,0,99.9996
2544,0,99.9996
2545,0,99.9996
2546,0,99.9996
2547,0,99.9996
2548,0,99.9996
2549,0,99.9996
2550,0,99.9996
2551,0,99.9996
2552,0,99.9996
2553,0,99.9996
2554,0,99.9996
2555,0,99.9996
2556,0,99.9996
2557,0,99.9996
2558,0,99.9996
2559,0,99.9996
2560,0,99.9996
2561,0,99.9996
2562,0,99.9996
2563,0,99.9996
2564,0,99.9996
2565,0,99.9996
2566,0,99.9996
2567,0,99.9996
2568,0,99.9996
2569,0,99.9996
2570,0,99.9996
2571,0,99.9996
2572,0,99.9996
2573,0,99.9996
2574,0,99.9996
2575,0,99.9996
2576,0,99.9996
2577,0,99.9996
2578,0,99.9996
2579,0,99.9996
2580,0,99.9996
2581,0,99.9996
2582,0,99.9996
2583,0,99.9996
2584,0,99.9996
2585,0,99.9996
2586,0,99.9996
2587,0,99.9996
2588,0,99.9996
2589,0,99.9996
2590,0,99.9996
2591,0,99.9996
2592,0,99.9996
2593,0,99.9996
2594,0,99.9996
2595,0,99.9996
2596,0,99.9996
2597,0,99.9996
2598,0,99.9996
2599,0,99.9996
2600,0,99.9996
2601,0,99.9996
2602,0,99.9996
2603,0,99.9996
2604,0,99.9996
2605,0,99.9996
2606,0,99.9996
2607,0,99.9996
2608,0,99.9996
2609,0,99.9996
2610,0,99.9996
2611,0,99.9996
2612,0,99.9996
2613,0,99.9996
2614,0,99.9996
2615,0,99.9996
2616,0,99.9996
2617,0,99.9996
2618,0,99.9996
2619,0,99.9996
2620,0,99.9996
2621,0,99.9996
2622,0,99.9996
2623,0,99.9996
2624,0,99.9996
2625,0,99.9996
2626,0,99.9996
2627,0,99.9996
2628,0,99.9996
2629,0,99.9996
2630,0,99.9996
2631,0,99.9996
2632,0,99.9996
2633,0,99.9996
2634,0,99.9996
2635,0,99.9996
2636,0,99.9996
2637,0,99.9996
2638,0,99.9996
2639,0,99.9996
2640,0,99.9996
2641,0,99.9996
2642,0,99.9996
2643,0,99.9996
2644,0,99.9996
2645,0,99.9996
2646,0,99.9996
2647,0,99.9996
2648,0,99.9996
2649,0,99.9996
2650,0,99.9996
2651,0,99.9996
2652,0,99.9996
2653,0,99.9996
2654,0,99.9996
2655,0,99.9996
2656,0,99.9996
2657,0,99.9996
2658,0,99.9996
2659,0,99.9996
2660,0,99.9996
2661,0,99.9996
2662,0,99.9996
2663,0,99.9996
2664,0,99.9996
2665,0,99.9996
2666,0,99.9996
2667,0,99.9996
2668,0,99.9996
2669,0,99.9996
2670,0,99.9996
2671,0,99.9996
2672,0,99.9996
2673,0,99.9996
2674,0,99.9996
2675,0,99.9996
2676,0,99.9996
2677,0,99.9996
2678,0,99.9996
2679,0,99.9996
2680,0,99.9996
2681,0,99.9996
2682,0,99.9996
2683,0,99.9996
2684,0,99.9996
2685,0,99.9996
2686,0,99.9996
2687,0,99.9996
2688,0,99.9996
2689,0,99.9996
2690,0,99.9996
2691,0,99.9996
2692,0,99.9996
2693,0,99.9996
2694,0,99.9996
2695,0,99.9996
2696,0,99.9996
2697,0,99.9996
2698,0,99.9996
2699,0,99.9996
2700,0,99.9996
2701,0,99.9996
2702,0,99.9996
2703,0,99.9996
2704,0,99.9996
2705,0,99.9996
2706,0,99.9996
2707,0,99.9996
2708,0,99.9996
2709,0,99.9996
2710,0,99.9996
2711,0,99.9996
2712,0,99.9996
2713,0,99.9996
2714,0,99.9996
2715,0,99.9996
2716,0,99.9996
2717,0,99.9996
2718,0,99.9996
2719,0,99.9996
2720,0,99.9996
2721,0,99.9996
2722,0,99.9996
2723,0,99.9996
2724,0,99.9996
2725,0,99.9996
2726,0,99.9996
2727,0,99.9996
2728,0,99.9996
2729,0,99.9996
2730,0,99.9996
2731,0,99.9996
2732,0,99.9996
2733,0,99.9996
2734,0,99.9996
2735,0,99.9996
2736,0,99.9996
2737,0,99.9996
2738,0,99.9996
2739,0,99.9996
2740,0,99.9996
2741,0,99.9996
2742,0,99.9996
2743,0,99.9996
2744,0,99.9996
2745,0,99.9996
2746,0,99.9996
2747,0,99.9996
2748,0,99.9996
2749,0,99.9996
2750,0,99.9996
2751,0,99.9996
2752,0,99.9996
2753,0,99.9996
2754,0,99.9996
2755,0,99.9996
2756,0,99.9996
2757,0,99.9996
2758,0,99.9996
2759,0,99.9996
2760,0,99.9996
2761,0,99.9996
2762,0,99.9996
2763,0,99.9996
2764,0,99.9996
2765,0,99.9996
2766,0,99.9996
2767,0,99.9996
2768,0,99.9996
2769,0,99.9996
2770,0,99.9996
2771,0,99.9996
2772,0,99.9996
2773,0,99.9996
2774,0,99.9996
2775,0,99.9996
2776,0,99.9996
2777,0,99.9996
2778,0,99.9996
2779,0,99.9996
2780,0,99.9996
2781,0,99.9996
2782,0,99.9996
2783,0,99.9996
2784,0,99.9996
2785,0,99.9996
2786,0,99.9996
2787,0,99.9996
2788,0,99.9996
2789,0,99.9996
2790,0,99.9996
2791,0,99.9996
2792,0,99.9996
2793,0,99.9996
2794,0,99.9996
2795,0,99.9996
2796,0,99.9996
2797,0,99.9996
2798,0,99.9996
2799,0,99.9996
2800,0,99.9996
2801,0,99.9996
2802,0,99.9996
2803,0,99.9996
2804,0,99.9996
2805,0,99.9996
2806,0,99.9996
2807,0,99.9996
2808,0,99.9996
2809,0,99.9996
2810,0,99.9996
2811,0,99.9996
2812,0,99.9996
2813,0,99.9996
2814,0,99.9996
2815,0,99.9996
2816,0,99.9996
2817,0,99.9996
2818,0,99.9996
2819,0,99.9996
2820,0,99.9996
2821,0,99.9996
2822,0,99.9996
2823,0,99.9996
2824,0,99.9996
2825,0,99.9996
2826,0,99.9996
2827,0,99.9996
2828,0,99.9996
2829,0,99.9996
2830,0,99.9996
2831,0,99.9996
2832,0,99.9996
2833,0,99.9996
2834,0,99.9996
2835,0,99.9996
2836,0,99.9996
2837,0,99.9996
2838,0,99.9996
2839,0,99.9996
2840,0,99.9996
2841,0,99.9996
2842,0,99.9996
2843,0,99.9996
2844,0,99.9996
2845,0,99.9996
2846,0,99.9996
2847,0,99.9996
