# Source File Name = manual_corpus.txt
#
# Memory Chunck Size = 4096
#
# Length in byte,Number of length,Total % of Length
#
351,0,99.8432
352,1,99.8436
353,1,99.8439
354,1,99.8443
355,1,99.8447
356,0,99.8447
357,2,99.8455
358,2,99.8463
359,2,99.8471
360,0,99.8471
361,1,99.8475
362,0,99.8475
363,0,99.8475
364,3,99.8486
365,0,99.8486
366,2,99.8494
367,0,99.8494
368,1,99.8498
369,1,99.8502
370,0,99.8502
371,1,99.8506
372,1,99.851
373,0,99.851
374,0,99.851
375,2,99.8517
376,0,99.8517
377,0,99.8517
378,0,99.8517
379,3,99.8529
380,0,99.8529
381,0,99.8529
382,2,99.8537
383,1,99.8541
384,0,99.8541
385,0,99.8541
386,1,99.8545
387,2,99.8553
388,1,99.8556
389,2,99.8564
390,1,99.8568
391,0,99.8568
392,2,99.8576
393,0,99.8576
394,2,99.8584
395,1,99.8588
396,7,99.8615
397,1,99.8619
398,0,99.8619
399,3,99.8631
400,3,99.8642
401,0,99.8642
402,3,99.8654
403,0,99.8654
404,0,99.8654
405,0,99.8654
406,3,99.8666
407,1,99.867
408,1,99.8673
409,0,99.8673
410,0,99.8673
411,1,99.8677
412,2,99.8685
413,0,99.8685
414,1,99.8689
415,0,99.8689
416,1,99.8693
417,4,99.8709
418,0,99.8709
419,2,99.8716
420,1,99.872
421,0,99.872
422,0,99.872
423,7,99.8748
424,0,99.8748
425,0,99.8748
426,3,99.8759
427,0,99.8759
428,0,99.8759
429,0,99.8759
430,2,99.8767
431,0,99.8767
432,1,99.8771
433,0,99.8771
434,1,99.8775
435,2,99.8783
436,0,99.8783
437,2,99.8791
438,0,99.8791
439,2,99.8798
440,2,99.8806
441,1,99.881
442,0,99.881
443,0,99.881
444,1,99.8814
445,1,99.8818
446,1,99.8822
447,1,99.8826
448,2,99.8833
449,1,99.8837
450,2,99.8845
451,5,99.8865
452,0,99.8865
453,2,99.8872
454,0,99.8872
455,3,99.8884
456,1,99.8888
457,4,99.8904
458,1,99.8908
459,1,99.8911
460,3,99.8923
461,0,99.8923
462,1,99.8927
463,2,99.8935
464,0,99.8935
465,3,99.8947
466,0,99.8947
467,0,99.8947
468,0,99.8947
469,1,99.8951
470,2,99.8958
471,0,99.8958
472,1,99.8962
473,1,99.8966
474,1,99.897
475,0,99.897
476,9,99.9005
477,1,99.9009
478,0,99.9009
479,3,99.9021
480,0,99.9021
481,1,99.9025
482,0,99.9025
483,1,99.9029
484,0,99.9029
485,1,99.9032
486,2,99.904
487,5,99.906
488,1,99.9064
489,0,99.9064
490,2,99.9071
491,2,99.9079
492,0,99.9079
493,0,99.9079
494,1,99.9083
495,0,99.9083
496,0,99.9083
497,2,99.9091
498,1,99.9095
499,0,99.9095
500,1,99.9099
501,2,99.9107
502,0,99.9107
503,1,99.911
504,0,99.911
505,1,99.9114
506,0,99.9114
507,0,99.9114
508,1,99.9118
509,1,99.9122
510,0,99.9122
511,0,99.9122
512,1,99.9126
513,0,99.9126
514,0,99.9126
515,1,99.913
516,0,99.913
517,0,99.913
518,1,99.9134
519,1,99.9138
520,0,99.9138
521,0,99.9138
522,1,99.9142
523,0,99.9142
524,1,99.9146
525,1,99.9149
526,2,99.9157
527,1,99.9161
528,9,99.9196
529,0,99.9196
530,0,99.9196
531,0,99.9196
532,0,99.9196
533,0,99.9196
534,1,99.92
535,0,99.92
536,0,99.92
537,1,99.9204
538,1,99.9208
539,1,99.9212
540,0,99.9212
541,1,99.9216
542,0,99.9216
543,0,99.9216
544,0,99.9216
545,0,99.9216
546,1,99.922
547,0,99.922
548,0,99.922
549,0,99.922
550,0,99.922
551,0,99.922
552,0,99.922
553,5,99.9239
554,1,99.9243
555,4,99.9259
556,1,99.9263
557,4,99.9278
558,1,99.9282
559,1,99.9286
560,0,99.9286
561,0,99.9286
562,0,99.9286
563,0,99.9286
564,4,99.9302
565,0,99.9302
566,2,99.9309
567,2,99.9317
568,0,99.9317
569,0,99.9317
570,1,99.9321
571,1,99.9325
572,0,99.9325
573,1,99.9329
574,0,99.9329
575,2,99.9337
576,1,99.9341
577,0,99.9341
578,0,99.9341
579,0,99.9341
580,0,99.9341
581,0,99.9341
582,2,99.9348
583,12,99.9395
584,8,99.9426
585,0,99.9426
586,0,99.9426
587,0,99.9426
588,2,99.9434
589,1,99.9438
590,0,99.9438
591,1,99.9442
592,0,99.9442
593,0,99.9442
594,1,99.9446
595,1,99.945
596,0,99.945
597,0,99.945
598,0,99.945
599,0,99.945
600,1,99.9454
601,0,99.9454
602,0,99.9454
603,1,99.9458
604,0,99.9458
605,0,99.9458
606,3,99.9469
607,0,99.9469
608,2,99.9477
609,0,99.9477
610,0,99.9477
611,0,99.9477
612,1,99.9481
613,0,99.9481
614,2,99.9489
615,0,99.9489
616,1,99.9493
617,2,99.9501
618,1,99.9505
619,0,99.9505
620,3,99.9516
621,0,99.9516
622,1,99.952
623,0,99.952
624,0,99.952
625,0,99.952
626,1,99.9524
627,0,99.9524
628,0,99.9524
629,1,99.9528
630,1,99.9532
631,0,99.9532
632,0,99.9532
633,0,99.9532
634,0,99.9532
635,3,99.9544
636,0,99.9544
637,0,99.9544
638,0,99.9544
639,2,99.9551
640,2,99.9559
641,0,99.9559
642,0,99.9559
643,0,99.9559
644,1,99.9563
645,0,99.9563
646,1,99.9567
647,0,99.9567
648,0,99.9567
649,0,99.9567
650,1,99.9571
651,0,99.9571
652,0,99.9571
653,0,99.9571
654,0,99.9571
655,1,99.9575
656,0,99.9575
657,0,99.9575
658,0,99.9575
659,0,99.9575
660,0,99.9575
661,0,99.9575
662,1,99.9579
663,0,99.9579
664,0,99.9579
665,0,99.9579
666,0,99.9579
667,0,99.9579
668,0,99.9579
669,1,99.9583
670,0,99.9583
671,0,99.9583
672,1,99.9586
673,0,99.9586
674,0,99.9586
675,0,99.9586
676,1,99.959
677,0,99.959
678,0,99.959
679,1,99.9594
680,0,99.9594
681,1,99.9598
682,0,99.9598
683,0,99.9598
684,0,99.9598
685,1,99.9602
686,0,99.9602
687,3,99.9614
688,0,99.9614
689,1,99.9618
690,0,99.9618
691,1,99.9622
692,0,99.9622
693,0,99.9622
694,0,99.9622
695,1,99.9625
696,0,99.9625
697,0,99.9625
698,0,99.9625
699,0,99.9625
700,5,99.9645
701,1,99.9649
702,0,99.9649
703,0,99.9649
704,1,99.9653
705,0,99.9653
706,1,99.9657
707,3,99.9668
708,0,99.9668
709,0,99.9668
710,1,99.9672
711,0,99.9672
712,0,99.9672
713,0,99.9672
714,0,99.9672
715,0,99.9672
716,0,99.9672
717,1,99.9676
718,0,99.9676
719,0,99.9676
720,0,99.9676
721,0,99.9676
722,0,99.9676
723,0,99.9676
724,1,99.968
725,0,99.968
726,0,99.968
727,1,99.9684
728,0,99.9684
729,0,99.9684
730,0,99.9684
731,0,99.9684
732,0,99.9684
733,1,99.9688
734,1,99.9692
735,0,99.9692
736,0,99.9692
737,1,99.9696
738,0,99.9696
739,0,99.9696
740,0,99.9696
741,0,99.9696
742,0,99.9696
743,0,99.9696
744,0,99.9696
745,0,99.9696
746,1,99.97
747,0,99.97
748,0,99.97
749,0,99.97
750,0,99.97
751,0,99.97
752,0,99.97
753,1,99.9703
754,0,99.9703
755,0,99.9703
756,0,99.9703
757,0,99.9703
758,1,99.9707
759,0,99.9707
760,0,99.9707
761,0,99.9707
762,0,99.9707
763,0,99.9707
764,0,99.9707
765,0,99.9707
